,STATE,bed_covid_discrepancy,pop_covid_discrepancy,bed_pop_discrepancy,bed_covid_effort,pop_covid_effort,bed_pop_effort
0,Alabama,4.0,4.0,14.0,2.0,2.0,22.0
1,Arizona,36.0,35.0,24.0,45.0,45.0,45.0
2,Arkansas,29.0,19.0,44.0,44.0,21.0,12.0
3,California,20.0,12.0,41.0,43.0,38.0,41.0
4,Colorado,24.0,25.0,15.0,38.0,44.0,34.0
5,Connecticut,32.0,32.0,21.0,46.0,46.0,46.0
6,Delaware,32.0,32.0,21.0,46.0,46.0,46.0
7,Florida,15.0,10.0,38.0,27.0,28.0,32.0
8,Georgia,6.0,18.0,1.0,10.0,34.0,4.0
9,Idaho,14.0,15.0,28.0,26.0,27.0,36.0
10,Illinois,25.0,22.0,35.0,39.0,35.0,39.0
11,Indiana,39.0,40.0,18.0,17.0,20.0,26.0
12,Iowa,9.0,9.0,6.0,7.0,12.0,9.0
13,Kansas,31.0,44.0,4.0,34.0,22.0,10.0
14,Kentucky,38.0,42.0,11.0,37.0,30.0,16.0
15,Louisiana,13.0,21.0,13.0,11.0,18.0,19.0
16,Maine,30.0,27.0,34.0,25.0,24.0,27.0
17,Maryland,37.0,41.0,12.0,9.0,10.0,21.0
18,Massachusetts,44.0,43.0,27.0,23.0,23.0,42.0
19,Michigan,10.0,8.0,20.0,28.0,31.0,35.0
20,Minnesota,12.0,23.0,9.0,30.0,41.0,29.0
21,Mississippi,40.0,17.0,48.0,35.0,14.0,1.0
22,Missouri,5.0,2.0,40.0,8.0,4.0,25.0
23,Montana,17.0,20.0,25.0,24.0,13.0,7.0
24,Nebraska,48.0,48.0,26.0,21.0,16.0,43.0
25,Nevada,45.0,45.0,19.0,40.0,40.0,44.0
26,New Hampshire,28.0,26.0,30.0,42.0,36.0,40.0
27,New Jersey,21.0,16.0,39.0,22.0,6.0,18.0
28,New Mexico,11.0,14.0,17.0,13.0,17.0,28.0
29,New York,8.0,6.0,32.0,19.0,11.0,38.0
30,North Carolina,18.0,28.0,7.0,14.0,29.0,14.0
31,North Dakota,47.0,46.0,47.0,6.0,9.0,8.0
32,Ohio,42.0,30.0,46.0,20.0,26.0,6.0
33,Oklahoma,26.0,24.0,33.0,41.0,37.0,30.0
34,Oregon,19.0,29.0,8.0,32.0,43.0,23.0
35,Pennsylvania,7.0,5.0,29.0,5.0,3.0,31.0
36,Rhode Island,32.0,32.0,21.0,46.0,46.0,46.0
37,South Carolina,27.0,39.0,5.0,29.0,32.0,3.0
38,South Dakota,41.0,31.0,45.0,18.0,25.0,13.0
39,Tennessee,3.0,1.0,31.0,3.0,1.0,24.0
40,Texas,35.0,37.0,16.0,36.0,39.0,33.0
41,Utah,46.0,47.0,36.0,15.0,15.0,37.0
42,Vermont,43.0,36.0,43.0,12.0,42.0,5.0
43,Virginia,2.0,7.0,2.0,1.0,7.0,2.0
44,Washington,1.0,3.0,10.0,4.0,5.0,15.0
45,West Virginia,16.0,11.0,37.0,16.0,8.0,17.0
46,Wisconsin,23.0,13.0,42.0,33.0,19.0,20.0
47,Wyoming,22.0,38.0,3.0,31.0,33.0,11.0
